sepal_length	sepal_width	petal_length	petal_width	class	sample_number
5.1	3.5	1.4	0.2	Iris-setosa	sample1
4.9	3	1.4	0.2	Iris-setosa	sample2
4.7	3.2	1.3	0.2	Iris-setosa	sample3
4.6	3.1	1.5	0.2	Iris-setosa	sample4
5	3.6	1.4	0.2	Iris-setosa	sample5
5.4	3.9	1.7	0.4	Iris-setosa	sample6
4.6	3.4	1.4	0.3	Iris-setosa	sample7
5	3.4	1.5	0.2	Iris-setosa	sample8
4.4	2.9	1.4	0.2	Iris-setosa	sample9
4.9	3.1	1.5	0.1	Iris-setosa	sample10
5.4	3.7	1.5	0.2	Iris-setosa	sample11
4.8	3.4	1.6	0.2	Iris-setosa	sample12
4.8	3	1.4	0.1	Iris-setosa	sample13
4.3	3	1.1	0.1	Iris-setosa	sample14
5.8	4	1.2	0.2	Iris-setosa	sample15
5.7	4.4	1.5	0.4	Iris-setosa	sample16
5.4	3.9	1.3	0.4	Iris-setosa	sample17
5.1	3.5	1.4	0.3	Iris-setosa	sample18
5.7	3.8	1.7	0.3	Iris-setosa	sample19
5.1	3.8	1.5	0.3	Iris-setosa	sample20
5.4	3.4	1.7	0.2	Iris-setosa	sample21
5.1	3.7	1.5	0.4	Iris-setosa	sample22
4.6	3.6	1	0.2	Iris-setosa	sample23
5.1	3.3	1.7	0.5	Iris-setosa	sample24
4.8	3.4	1.9	0.2	Iris-setosa	sample25
5	3	1.6	0.2	Iris-setosa	sample26
5	3.4	1.6	0.4	Iris-setosa	sample27
5.2	3.5	1.5	0.2	Iris-setosa	sample28
5.2	3.4	1.4	0.2	Iris-setosa	sample29
4.7	3.2	1.6	0.2	Iris-setosa	sample30
4.8	3.1	1.6	0.2	Iris-setosa	sample31
5.4	3.4	1.5	0.4	Iris-setosa	sample32
5.2	4.1	1.5	0.1	Iris-setosa	sample33
5.5	4.2	1.4	0.2	Iris-setosa	sample34
4.9	3.1	1.5	0.1	Iris-setosa	sample35
5	3.2	1.2	0.2	Iris-setosa	sample36
5.5	3.5	1.3	0.2	Iris-setosa	sample37
4.9	3.1	1.5	0.1	Iris-setosa	sample38
4.4	3	1.3	0.2	Iris-setosa	sample39
5.1	3.4	1.5	0.2	Iris-setosa	sample40
5	3.5	1.3	0.3	Iris-setosa	sample41
4.5	2.3	1.3	0.3	Iris-setosa	sample42
4.4	3.2	1.3	0.2	Iris-setosa	sample43
5	3.5	1.6	0.6	Iris-setosa	sample44
5.1	3.8	1.9	0.4	Iris-setosa	sample45
4.8	3	1.4	0.3	Iris-setosa	sample46
5.1	3.8	1.6	0.2	Iris-setosa	sample47
4.6	3.2	1.4	0.2	Iris-setosa	sample48
5.3	3.7	1.5	0.2	Iris-setosa	sample49
5	3.3	1.4	0.2	Iris-setosa	sample50
7	3.2	4.7	1.4	Iris-versicolor	sample51
6.4	3.2	4.5	1.5	Iris-versicolor	sample52
6.9	3.1	4.9	1.5	Iris-versicolor	sample53
5.5	2.3	4	1.3	Iris-versicolor	sample54
6.5	2.8	4.6	1.5	Iris-versicolor	sample55
5.7	2.8	4.5	1.3	Iris-versicolor	sample56
6.3	3.3	4.7	1.6	Iris-versicolor	sample57
4.9	2.4	3.3	1	Iris-versicolor	sample58
6.6	2.9	4.6	1.3	Iris-versicolor	sample59
5.2	2.7	3.9	1.4	Iris-versicolor	sample60
5	2	3.5	1	Iris-versicolor	sample61
5.9	3	4.2	1.5	Iris-versicolor	sample62
6	2.2	4	1	Iris-versicolor	sample63
6.1	2.9	4.7	1.4	Iris-versicolor	sample64
5.6	2.9	3.6	1.3	Iris-versicolor	sample65
6.7	3.1	4.4	1.4	Iris-versicolor	sample66
5.6	3	4.5	1.5	Iris-versicolor	sample67
5.8	2.7	4.1	1	Iris-versicolor	sample68
6.2	2.2	4.5	1.5	Iris-versicolor	sample69
5.6	2.5	3.9	1.1	Iris-versicolor	sample70
5.9	3.2	4.8	1.8	Iris-versicolor	sample71
6.1	2.8	4	1.3	Iris-versicolor	sample72
6.3	2.5	4.9	1.5	Iris-versicolor	sample73
6.1	2.8	4.7	1.2	Iris-versicolor	sample74
